Latitude,Longitude,Accuracy,Drainage Name,Year,Month,Day,lat_lon
18.43382,-64.44499,Accurate,Eastern Caribbean,2022,2.0,27.0,"(-64.44499, 18.43382)"
18.051071,-67.908004,Accurate,Greater Antilles,2010,1.0,10.0,"(-67.908004, 18.051071)"
18.1121,-67.934,Accurate,Greater Antilles,2009,4.0,5.0,"(-67.934, 18.1121)"
17.9389,-67.0231,Approximate,Greater Antilles,2009,5.0,15.0,"(-67.0231, 17.9389)"
17.9658,-66.7616,Accurate,Greater Antilles,2010,6.0,6.0,"(-66.7616, 17.9658)"
18.38888,-67.40672,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40672, 18.38888)"
18.38732,-67.40645,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40645, 18.38732)"
18.38937,-67.40738,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40738, 18.38937)"
18.38918,-67.4073,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.4073, 18.38918)"
18.38893,-67.40794,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40794, 18.38893)"
18.38918,-67.4073,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.4073, 18.38918)"
18.38868,-67.40958,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40958, 18.38868)"
18.38904,-67.40733,Accurate,Greater Antilles,2013,10.0,10.0,"(-67.40733, 18.38904)"
18.42,-65.79417,Approximate,,2021,7.0,24.0,"(-65.79417, 18.42)"
18.45972,-65.97512,Accurate,Greater Antilles,2020,11.0,17.0,"(-65.97512, 18.45972)"
18.36753,-67.25968,Accurate,Culebrinas-Guanajibo,2018,12.0,28.0,"(-67.25968, 18.36753)"
18.37068,-67.40168,Accurate,Eastern Caribbean,2013,10.0,13.0,"(-67.40168, 18.37068)"
18.3445,-65.63032,Approximate,Greater Antilles,2017,8.0,1.0,"(-65.63032, 18.3445)"
18.38205,-65.62582,Accurate,Eastern Puerto Rico,2017,3.0,21.0,"(-65.62582, 18.38205)"
18.3863,-65.5888,Accurate,Greater Antilles,2013,5.0,26.0,"(-65.5888, 18.3863)"
18.46951,-66.13907,Accurate,Greater Antilles,2012,2.0,20.0,"(-66.13907, 18.46951)"
18.09173,-65.4558,Accurate,Greater Antilles,2015,3.0,17.0,"(-65.4558, 18.09173)"
